ID,categoria
271,Educación y Otros
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Educación y Otros
686,Entretenimiento
238,Entretenimiento
802,Educación y Otros
678,Deportes
43,Película y Animación
593,Educación y Otros
613,Entretenimiento
999,Entretenimiento
590,Educación y Otros
862,Educación y Otros
74,Educación y Otros
308,Educación y Otros
504,Educación y Otros
583,Entretenimiento
749,Deportes
751,Película y Animación
814,Película y Animación
641,Educación y Otros
975,Entretenimiento
277,Deportes
293,Educación y Otros
398,Deportes
423,Película y Animación
895,Película y Animación
186,Película y Animación
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Película y Animación
936,Película y Animación
477,Película y Animación
433,Película y Animación
615,Deportes
229,Deportes
695,Educación y Otros
66,Película y Animación
917,Entretenimiento
322,Deportes
938,Educación y Otros
242,Entretenimiento
436,Deportes
934,Educación y Otros
774,Entretenimiento
354,Entretenimiento
202,Educación y Otros
735,Educación y Otros
14,Educación y Otros
441,Deportes
951,Deportes
761,Deportes
333,Educación y Otros
644,Educación y Otros
880,Película y Animación
153,Educación y Otros
378,Entretenimiento
431,Educación y Otros
413,Deportes
640,Educación y Otros
363,Educación y Otros
726,Educación y Otros
649,Educación y Otros
604,Película y Animación
713,Educación y Otros
41,Película y Animación
808,Educación y Otros
95,Entretenimiento
815,Entretenimiento
162,Película y Animación
447,Entretenimiento
347,Entretenimiento
320,Deportes
337,Educación y Otros
971,Educación y Otros
356,Deportes
796,Educación y Otros
113,Educación y Otros
221,Educación y Otros
602,Educación y Otros
702,Educación y Otros
514,Educación y Otros
821,Educación y Otros
775,Película y Animación
724,Película y Animación
706,Película y Animación
687,Educación y Otros
190,Educación y Otros
367,Educación y Otros
717,Película y Animación
49,Educación y Otros
835,Película y Animación
801,Deportes
268,Deportes
336,Película y Animación
299,Película y Animación
757,Educación y Otros
723,Deportes
63,Educación y Otros
677,Educación y Otros
207,Educación y Otros
572,Educación y Otros
625,Entretenimiento
956,Entretenimiento
254,Película y Animación
68,Deportes
175,Película y Animación
407,Deportes
708,Película y Animación
210,Educación y Otros
222,Deportes
316,Educación y Otros
490,Deportes
219,Película y Animación
544,Deportes
816,Deportes
141,Entretenimiento
399,Deportes
298,Educación y Otros
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Entretenimiento
770,Deportes
124,Entretenimiento
12,Entretenimiento
56,Entretenimiento
964,Película y Animación
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Educación y Otros
169,Entretenimiento
741,Entretenimiento
145,Entretenimiento
118,Entretenimiento
191,Entretenimiento
915,Entretenimiento
295,Entretenimiento
629,Entretenimiento
683,Entretenimiento
351,Educación y Otros
621,Entretenimiento
581,Entretenimiento
429,Entretenimiento
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Entretenimiento
314,Entretenimiento
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Entretenimiento
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Educación y Otros
550,Educación y Otros
838,Entretenimiento
108,Entretenimiento
791,Entretenimiento
59,Educación y Otros
853,Deportes
335,Entretenimiento
232,Educación y Otros
60,Educación y Otros
223,Deportes
462,Deportes
416,Deportes
272,Deportes
8,Deportes
151,Educación y Otros
104,Deportes
83,Entretenimiento
658,Película y Animación
864,Película y Animación
